my-first-one,timestamp,node_id,mem_free,mem_used,mem_available,proc_cpu_usage,proc_memory,proc_vmemory,load_avg_1,load_avg_5,load_avg_15,tot_rx_bytes,tot_rx_pkts,tot_rx_errs,tot_tx_bytes,tot_tx_pkts,tot_tx_errs,disk_free_space,disk_tot_reads,disk_tot_writes,gpu_load_perc,gpu_temp_cels,active_power
experiment_name,1771769219.67893,8ab85bfd-6547-4652-8e98-626c622c731e,319120,12924304,12140320,3,67504,435455408,257,233,317,605624320,512396,0,91275,39229440,0,494384795648,3456483328,7918272512,-1,-1,-1
experiment_name,1771769221.678,8ab85bfd-6547-4652-8e98-626c622c731e,279232,13034784,11943424,4,67504,435455408,257,233,317,605628416,512427,0,91307,39232512,0,494384795648,3456565248,7919312896,-1,-1,-1
experiment_name,1771769223.662266,8ab85bfd-6547-4652-8e98-626c622c731e,325952,12999408,11976128,3,67504,435455408,245,231,316,605635584,512460,0,91348,39249920,0,494384795648,3456565248,7919370240,-1,-1,-1
experiment_name,1771769225.680892,8ab85bfd-6547-4652-8e98-626c622c731e,266688,13063696,11904656,3,67504,435455408,245,231,316,605654016,512511,0,91403,39274496,0,494384795648,3456663552,7919378432,-1,-1,-1
experiment_name,1771769227.663479,8ab85bfd-6547-4652-8e98-626c622c731e,152160,13096736,12038112,3,67504,435455408,245,231,316,605668352,512564,0,91454,39292928,0,494384795648,3456786432,7919484928,-1,-1,-1
experiment_name,1771769229.659943,8ab85bfd-6547-4652-8e98-626c622c731e,86816,13197824,11870048,3,67504,435455408,273,237,317,605676544,512605,0,91497,39301120,0,494384795648,3456819200,7919689728,-1,-1,-1
experiment_name,1771769231.688719,8ab85bfd-6547-4652-8e98-626c622c731e,188976,13062128,12061424,2,67504,435455408,273,237,317,605680640,512631,0,91523,39305216,0,494384795648,3456819200,7919689728,-1,-1,-1
experiment_name,1771769233.658067,8ab85bfd-6547-4652-8e98-626c622c731e,163376,12990544,12224048,1,67504,435455408,273,237,317,605684736,512659,0,91552,39308288,0,494384795648,3456884736,7919734784,-1,-1,-1
experiment_name,1771769235.665402,8ab85bfd-6547-4652-8e98-626c622c731e,256512,13030528,12031744,3,67504,435455408,283,240,318,605687808,512689,0,91581,39312384,0,494384795648,3456884736,7919738880,-1,-1,-1
experiment_name,1771769237.750521,8ab85bfd-6547-4652-8e98-626c622c731e,326592,12919792,12136128,3,67504,435455408,283,240,318,605691904,512722,0,91609,39315456,0,494384795648,3456884736,7919742976,-1,-1,-1
experiment_name,1771769239.665597,8ab85bfd-6547-4652-8e98-626c622c731e,137152,13234048,11718240,2,67504,435455408,293,243,318,605700096,512761,0,91660,39333888,0,494384795648,3456917504,7920074752,-1,-1,-1
experiment_name,1771769241.665775,8ab85bfd-6547-4652-8e98-626c622c731e,166224,13158032,11906000,3,67504,435455408,293,243,318,605706240,512790,0,91688,39337984,0,494384795648,3456917504,7920074752,-1,-1,-1
experiment_name,1771769243.664923,8ab85bfd-6547-4652-8e98-626c622c731e,147376,13073344,12122192,2,67504,435455408,293,243,318,605709312,512820,0,91717,39341056,0,494384795648,3456999424,7920713728,-1,-1,-1
experiment_name,1771769245.666792,8ab85bfd-6547-4652-8e98-626c622c731e,275264,12905264,12258960,3,67504,435455408,285,242,317,605713408,512850,0,91748,39345152,0,494384795648,3457110016,7922122752,-1,-1,-1
experiment_name,1771769247.661466,8ab85bfd-6547-4652-8e98-626c622c731e,332944,12850672,12260800,3,67504,435455408,285,242,317,605717504,512880,0,91777,39349248,0,494384795648,3458617344,7922364416,-1,-1,-1
